649.52,796.13,653.02
123.85,123.82,114.62
48.70,55.89,53.13
121.56,136.01,98.41
8.75,5.86,6.45
37.16,59.00,NaN
5.17,5.65,NaN
3.53,3.36,NaN
1.67,1.38,NaN
